id,symbol,name,rank,consolidation_score,volume_stability_score,breakout_score,breakout_volume_score,rsi_score,ma_score,cap_score,consolidation_volatility,consolidation_range,volume_stability,breakout_price_change,breakout_volume_change,rsi_current,rsi_trend,ma_trend,market_cap,data_days,total_score
bitcoin,btc,Bitcoin,1,0,6,10,10,10,10,2,0.02185607051220079,0.24343842128795914,6,24.00952160430181,10,74.51265343033849,25.022964047194243,7.38724864226199,1515657625846.036,361,6.625
ethereum,eth,Ethereum,2,0,6,10,10,10,7,3,0.027935453363857842,0.21576379032412493,6,17.75516870310916,10,74.17476191606684,42.47670647052338,2.460294997747736,357650099653.4543,361,6.375
tether,usdt,Tether,3,9,6,0,10,10,4,3,0.0007842702953514877,0.0034565158011284165,6,0.06339473047880517,10,60.4575449110487,25.186329969005428,-0.017068582800439103,123081040613.0073,361,5.8125
solana,sol,Solana,4,0,6,10,10,10,10,4,0.03213120469478516,0.360153972709595,6,36.18389061670364,10,68.80840258324383,26.018342608153418,12.310301453313022,93474332965.79745,361,6.875
binancecoin,bnb,BNB,5,0,7,10,10,10,6,4,0.02136798590827572,0.21800542836044381,7,12.667432100338093,10,65.14415772044208,32.96328177744404,1.4223659091515906,91935131999.86423,361,6.5
usd-coin,usdc,USDC,6,9,6,0,10,5,0,4,0.000714581317887785,0.0034012114755845725,6,0.0011708979274827058,10,50.972834047525936,11.351937032792591,0.0006834293707180805,37237382106.82077,361,4.8125
ripple,xrp,XRP,7,0,5,0,0,10,0,4,0.025051315120482077,0.2519585134123938,5,-1.335657635937626,0,70.72622323071938,38.99371087323718,-4.761719842426149,31565870633.416164,361,2.375
dogecoin,doge,Dogecoin,8,0,4,10,10,10,10,4,0.0367167860342689,0.4733839858406285,4,91.2729431844713,10,78.84015296829406,23.20248989699752,25.56161953036844,31024898124.378944,361,6.625
staked-ether,steth,Lido Staked Ether,9,0,3,10,10,10,7,4,0.02802984024979882,0.2165309595219438,3,20.17034453470925,10,75.60890968419835,43.95969930153446,2.538132453147468,29704476699.60509,361,6.125
cardano,ada,Cardano,10,0,7,10,10,10,5,4,0.02884483745593481,0.24888917544567188,7,24.16989579808697,10,74.81426308719665,37.83981806926572,0.08254074529505662,15625053198.796394,361,6.375
tron,trx,TRON,11,0,3,4,0,0,0,4,0.020931748435753225,0.25927605608312193,3,4.585753715133212,0,39.47320001861215,0.0,3.5858827022841266,13869405679.738382,361,1.625
the-open-network,ton,Toncoin,12,0,1,0,0,10,0,4,0.0353328133407111,0.41102372212960087,1,-6.53411502771295,0,62.10934982036808,35.07796620749771,-6.452565387441589,13185977316.917961,361,1.875
wrapped-steth,wsteth,Wrapped stETH,13,0,5,10,3,10,7,4,0.028037174482138223,0.21469626703316938,5,20.671640480004292,3,75.59275131718886,44.222876111119945,2.756325848031027,13009856581.800798,361,5.5
avalanche-2,avax,Avalanche,14,0,6,10,10,10,2,4,0.03740525900710141,0.4094486402001653,6,16.745460996129967,10,66.46736919590543,43.87508480357421,-2.0126870250617546,11986101015.96563,361,5.875
shiba-inu,shib,Shiba Inu,15,0,2,10,10,10,10,4,0.0435166982613169,0.4885800058892168,2,25.739720093347064,10,67.16855341921206,29.945711976679483,5.881876250036977,11491980521.933569,361,6.375
wrapped-bitcoin,wbtc,Wrapped Bitcoin,16,0,5,10,10,10,10,4,0.02163072806353057,0.24458247129169636,5,24.01373253003074,10,74.5029128624528,24.98470239478317,7.40807665707599,11232130062.358654,361,6.75
weth,weth,WETH,17,0,3,10,0,10,7,5,0.028067952292713635,0.21479094795683346,3,20.131390694530737,0,75.59913341654904,43.95923144105036,2.5379741333788397,8995830469.548933,361,5.0
chainlink,link,Chainlink,18,0,7,10,10,10,7,5,0.0330096478732928,0.30457708576427694,7,22.07200947495176,10,67.28780771211288,31.098174754784324,2.006580450251283,8477284730.901596,361,6.75
bitcoin-cash,bch,Bitcoin Cash,19,0,5,10,10,10,9,5,0.03160013321126776,0.22179369702168897,5,11.888406475676284,10,59.25994433891457,20.40501826730128,4.207360150813932,7436153136.53211,361,6.75
sui,sui,Sui,20,0,3,10,10,10,10,5,0.06092074387609191,1.1371830535684049,3,64.74535629801123,10,69.76243880359964,44.2802659902771,11.247042444953404,6500779397.532604,361,6.625
polkadot,dot,Polkadot,21,0,7,0,10,10,1,5,0.027194838159740505,0.2374685969592286,7,0.7297207396033345,10,63.77095561654449,46.03588602122918,-3.7716811968990682,6269891814.368486,361,4.125
leo-token,leo,LEO Token,22,0,0,10,10,10,7,5,0.012968917921748967,0.12535925299443648,0,11.238475414661341,10,81.81315008728835,45.779818900787575,2.7634209704619828,5980598015.288788,361,5.875
usds,usds,USDS,23,8,4,0,10,3,0,5,0.009287205313827372,0.014714834175578447,4,-0.2015470797270491,10,51.39429369252603,6.125944978585991,,5592241774.328646,47,4.25
wrapped-eeth,weeth,Wrapped eETH,24,0,0,10,0,10,7,5,0.028264524937742688,0.21422249458539125,0,20.717862176428724,0,75.75949958755045,44.09513231290384,2.714826525233671,5575347343.836807,313,4.625
litecoin,ltc,Litecoin,25,0,6,10,10,10,8,5,0.023801808587177488,0.21902747155022764,6,11.439366321240275,10,60.08993898881094,25.21531788306818,3.2867634197036866,5521012813.812341,361,6.75
uniswap,uni,Uniswap,26,0,3,10,10,10,10,5,0.04075489217382731,0.36537359080294385,3,30.95480325703037,10,64.97244163143915,30.555475684012293,6.434926679948494,5409935324.182806,361,6.625
near,near,NEAR Protocol,27,0,5,0,9,10,0,5,0.045633929451998755,0.45054819779908606,5,-2.074778847747616,9,54.76670847690479,37.127069690695144,-7.688387616763325,5363231778.631641,361,3.625
aptos,apt,Aptos,28,0,3,10,10,10,10,5,0.050482762228582154,0.6248820260122718,3,31.175885389560843,10,56.67531158518916,25.178305179063223,9.301939915405665,5179759786.882026,361,6.625
pepe,pepe,Pepe,29,0,5,10,10,10,7,5,0.05416318837765873,0.5402764249827195,5,28.505421911255645,10,67.83306685090676,43.756343397359345,2.066212811036472,4677543848.453581,361,6.5
internet-computer,icp,Internet Computer,30,0,6,3,10,10,0,5,0.04095717853697482,0.3663698988245256,6,3.753670507069229,10,59.2368217420587,29.877972538165004,-4.669340368174357,3963255143.402075,361,4.4375
bittensor,tao,Bittensor,31,0,4,10,10,10,3,5,0.061533567394217,1.0073454830727613,4,19.76040821976719,10,48.725902936154725,29.560085158609468,-1.5317480547971107,3725059372.305851,361,5.875
fetch-ai,fet,Artificial Superintelligence Alliance,32,0,5,6,0,10,0,5,0.05478072995676439,0.6817810620370783,5,6.792404955470532,0,62.9059367041903,37.9278139502649,-8.43134818816499,3630904124.227803,361,3.625
dai,dai,Dai,33,9,5,0,0,4,0,5,0.00106542347420892,0.005748160048948149,5,-0.051179385843225234,0,48.211876044716334,8.304586482230448,-0.000904903437914939,3311973398.668004,361,3.4375
ethereum-classic,etc,Ethereum Classic,34,0,7,10,10,10,4,5,0.02450464141090457,0.18896891489986134,7,10.035323903322912,10,70.20175745721562,41.63937622884593,-0.15556517368600087,3095212222.085323,361,6.375
stellar,xlm,Stellar,35,0,6,6,10,10,5,5,0.018068336746792812,0.15294220292746985,6,6.641434645937094,10,65.21723047825645,31.79522530897269,0.33110065803894084,3013739684.285991,361,5.625
monero,xmr,Monero,36,0,7,1,10,7,4,5,0.02515993551367107,0.2517353312646279,7,1.2510542085344634,10,54.583944613890445,15.473288915722321,-0.3321703311031321,3004730186.4595017,361,4.3125
polygon-ecosystem-token,pol,POL (ex-MATIC),37,0,0,0,10,10,0,5,0.03660897087995152,0.6171568528525825,0,-4.4071009762517654,10,67.02973372701695,51.20981747142092,-9.325746191517403,2966824478.1861715,361,3.125
ethena-usde,usde,Ethena USDe,38,9,4,0,10,5,5,5,0.0006897763594754392,0.0033454016937135966,4,0.1571526822400804,10,55.338337212293155,11.697683479073689,0.0780631526528408,2908387454.6154184,331,5.3125
whitebit,wbt,WhiteBIT Coin,39,0,0,10,10,4,10,5,0.034910708945244236,0.6821733860395417,0,62.19181805596381,10,77.51928457778602,8.741588721111114,28.605917646352918,2877094437.9402747,361,5.5
crypto-com-chain,cro,Cronos,40,0,5,10,10,10,3,5,0.021952335883880323,0.23838968778285705,5,29.351473866622424,10,81.86341149159068,51.77893355791289,-1.7590071108442018,2857809640.940254,361,6.0
kaspa,kas,Kaspa,41,0,6,0,10,8,0,5,0.03217885281024029,0.4164004629498476,6,-26.710159328215934,10,45.406096369300634,16.24652847591728,-16.58314187376142,2834333338.172563,361,3.625
